time_normalized,thermal_force_normalized,fourier_response_normalized,cattaneo_reference_normalized,cattaneo_numeric_normalized,linear_phi_response_normalized,nonlinear_C,nonlinear_Phi,nonlinear_Pi,trace_source_nonnegative,trace_observable_normalized,extended_energy_normalized,actual_delta_normalized,predicted_delta_normalized,ledger_closure_relative
12.31,0.19109537016068864,0.19109537016068864,0.33088615289188084,0.33088609406426966,0.3620042408553814,0.14373882278367678,0.38202189813702553,-0.032591602343155925,0.48843936227428714,0.48011028991703614,0.06556921337336388,-2.676933576889473e-07,-2.6769335467868073e-07,1.124520460868755e-08
12.32,0.183728278586583,0.183728278586583,0.32388737315263855,0.32388731526330855,0.36144061263325084,0.14365533500148273,0.38168515567297634,-0.034756362217500926,0.4909679035333871,0.4835812357263086,0.06551388747815735,-2.8546683553121177e-07,-2.8546683246924966e-07,1.0726157055696532e-08
12.33,0.17635085234525075,0.17635085234525075,0.31687037483405633,0.31687031788626374,0.3608566534719612,0.14356604407436271,0.3813267816623914,-0.03691788946642515,0.4934964447924871,0.48705218153558105,0.06545501300859496,-3.0317863339290874e-07,-3.0317863025654415e-07,1.0344939388093893e-08
12.34,0.16896350641497274,0.16896350641497448,0.30983555264044094,0.30983549663738746,0.3602523962190615,0.14347094861197462,0.3809468090955224,-0.039076051437153855,0.49602498605158707,0.49052312734485354,0.06539260276824348,-3.2082410147959983e-07,-3.208240982944198e-07,9.928119593220917e-09
12.350000000000001,0.16156665633200973,0.16156665633200973,0.302783302278681,0.30278324722351885,0.3596278748638624,0.14337004757352664,0.38054527228473184,-0.04123071636210724,0.4985535273106875,0.49399407315412663,0.06532667048895252,-3.383986069693812e-07,-3.3839860370956344e-07,9.633070779005649e-09
12.360000000000001,0.15416071816723032,0.15416071816722857,0.29571402043600487,0.2957139663318304,0.35898312453552594,0.1432633402683617,0.3801222068555815,-0.0433817533711263,0.50083075745207,0.49725307386060646,0.06525723082730125,-3.558975355949512e-07,-3.5589753228539113e-07,9.299193528792663e-09
12.370000000000001,0.1467461085027,0.1467461085027,0.28862810475765216,0.2886280516075071,0.3583181815010881,0.1431508263565175,0.3796776497377976,-0.0455290325032554,0.5031079875934523,0.5005120745670864,0.06518429936068809,-3.7331629361425644e-07,-3.733162902363123e-07,9.048477687593382e-09
12.38,0.1393232444082592,0.1393232444082592,0.2815259538245082,0.2815259016313839,0.35763308316341885,0.14303250584926364,0.37921163915612327,-0.04767242471807759,0.5053852177348347,0.5037710752735661,0.06510789258306753,-3.906503094341929e-07,-3.9065030597118925e-07,8.864714916722141e-09
12.39,0.13189254341805592,0.13189254341805592,0.2744079671306919,0.2744079158975241,0.35692786805911936,0.14290837910961546,0.3787242146210571,-0.049811801906602546,0.5076624478762172,0.5070300759800459,0.06502802790033467,-4.07895035359207e-07,-4.078950318448658e-07,8.615798008697148e-09
12.4,0.1244544235070617,0.1244544235070617,0.267274545061078,0.26727449479074866,0.3562025758563531,0.14277844685282284,0.3782154169194868,-0.051947036901704866,0.5099396780175995,0.5102890766865258,0.06494472362536127,-4.2504594947867513e-07,-4.250459458966229e-07,8.427447097211177e-09
12.41,0.11700930306756027,0.11700930306756027,0.2601260888687771,0.26012603956411384,0.35545724735261547,0.14264271014683683,0.3776852881052209,-0.05407800348811094,0.5119527936250087,0.513317809002696,0.06485799897268547,-4.420985572212155e-07,-4.420985535744668e-07,8.248723328770167e-09
12.42,0.1095576008856133,0.10955760088561506,0.2529630006525668,0.25296295231634136,0.3546919244724383,0.14250117041275095,0.3771338714894209,-0.056204576411934,0.5139659092324177,0.5163465413188661,0.06476787405285768,-4.5904839315880075e-07,-4.5904838944412966e-07,8.092112172259056e-09
12.43,0.10209973611750547,0.10209973611750547,0.24578568333426723,0.24578563596920022,0.35390665026503143,0.1423538294252185,0.37656121163094236,-0.058326631389756065,0.5159790248398268,0.5193752736350364,0.06467436986644673,-4.758910226720925e-07,-4.7589101888172005e-07,7.964790793600185e-09
