x_normalized,localized_initial_C,canonical_C,canonical_trace_C,coupled_C,coupled_Phi,coupled_Pi,adiabatic_C,legacy_C
26.5,0.050000465684395,0.04999998058256697,0.04999998058256697,0.049999980565359634,0.00021414096640418439,0.00018093700720824287,0.04999998055331058,0.04412347439317465
27.0,0.05000012148103265,0.04999999040947635,0.04999999040947635,0.04999999040582434,0.0002141394016838955,0.00018093638892025644,0.049999990410754286,0.04412308018839445
27.5,0.05000002977020737,0.0499999974781675,0.0499999974781675,0.04999999747749758,0.00021413903430966716,0.0001809362699008973,0.049999997480383085,0.04412297179441566
28.0,0.05000000685349089,0.04999999960033982,0.04999999960033982,0.049999999600233984,0.00021413895440246193,0.00018093624864883853,0.04999999960111593,0.04412294377978921
28.5,0.050000001482171354,0.04999999999031109,0.04999999999031109,0.049999999990295835,0.00021413893821071414,0.00018093624476836674,0.04999999999047478,0.04412293697236862
29.0,0.050000000301121374,0.05000000001626637,0.05000000001626637,0.05000000001626381,0.00021413893512523967,0.0001809362439422827,0.05000000001628298,0.04412293541670886
29.5,0.050000000057470025,0.05000000000557201,0.05000000000557201,0.05000000000557145,0.00021413893456547522,0.00018093624373815024,0.050000000005569284,0.044122935082287935
30.0,0.05000000001030381,0.05000000000094208,0.05000000000094208,0.050000000000941965,0.0002141389344677677,0.0001809362436878752,0.05000000000094044,0.044122935014644135
30.5,0.05000000000173545,0.050000000000028064,0.050000000000028064,0.05000000000002804,0.0002141389344513443,0.00018093624367708977,0.050000000000027744,0.044122935001767324
31.0,0.05000000000027459,0.04999999999996747,0.04999999999996747,0.04999999999996747,0.00021413893444872353,0.0001809362436752416,0.04999999999996748,0.044122934999470856
31.5,0.05000000000004082,0.04999999999998801,0.04999999999998801,0.04999999999998801,0.0002141389344483247,0.00018093624367500214,0.049999999999988,0.044122934999264514
