label,grid_L,domain_length,temperature,delta_t,steps,dt,dx,kappa,spinodal_margin,seed,status,mass_drift_abs,order_parameter,max_abs_c,threshold_label,estimator_threshold,axis_corr_radius_1,axis_corr_radius_2,axis_corr_radius_3,axis_corr_radius_4,threshold_crossed,xi_proxy,xi_over_L,order_preserving_xi_pass
L16_s4800_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,0.23463338028742267,lower_0_25,0.25,0.9240283902118179,0.7154395707542909,0.423488515452571,0.1079132279150415,True,3.54975317239294,0.22185957327455874,True
L16_s4800_fresh_seed21002,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21002,OK,1.496198998029996e-17,0.10025833153114394,0.23463338028742267,lower_0_20,0.2,0.9240283902118179,0.7154395707542909,0.423488515452571,0.1079132279150415,True,3.708193969168111,0.23176212307300695,True
L16_s4800_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,0.24466790547676254,default_exp_minus_1,0.36787944117144233,0.9210472631744149,0.7105860325052206,0.43375608600573284,0.1631367674351431,True,3.2434292022544833,0.2027143251409052,True
L16_s4800_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,0.24466790547676254,lower_0_30,0.3,0.9210472631744149,0.7105860325052206,0.43375608600573284,0.1631367674351431,True,3.494259192995652,0.21839119956222824,True
L16_s4800_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,0.24466790547676254,lower_0_25,0.25,0.9210472631744149,0.7105860325052206,0.43375608600573284,0.1631367674351431,True,3.6790205776007854,0.2299387861000491,True
L16_s4800_fresh_seed21003,16,16.0,0.9,0.09999999999999998,4800,0.05,1.0,0.1,0.08457874312329786,21003,OK,3.604972223514302e-18,0.1030430598636522,0.24466790547676254,lower_0_20,0.2,0.9210472631744149,0.7105860325052206,0.43375608600573284,0.1631367674351431,True,3.8637819622059197,0.24148637263786998,True
L16_s5600_fresh_seed21001,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,0.29139105839167617,default_exp_minus_1,0.36787944117144233,0.9228027657669853,0.7100401323182469,0.4083103460178057,0.07270630070650667,True,3.120472042608606,0.19502950266303787,False
L16_s5600_fresh_seed21001,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,0.29139105839167617,lower_0_30,0.3,0.9228027657669853,0.7100401323182469,0.4083103460178057,0.07270630070650667,True,3.322732540119829,0.20767078375748932,True
L16_s5600_fresh_seed21001,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,0.29139105839167617,lower_0_25,0.25,0.9228027657669853,0.7100401323182469,0.4083103460178057,0.07270630070650667,True,3.471717633412197,0.2169823520882623,True
L16_s5600_fresh_seed21001,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21001,OK,1.2061749168901237e-17,0.14051314729292413,0.29139105839167617,lower_0_20,0.2,0.9228027657669853,0.7100401323182469,0.4083103460178057,0.07270630070650667,True,3.620702726704565,0.22629392041903532,True
L16_s5600_fresh_seed21002,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,0.28531592728836835,default_exp_minus_1,0.36787944117144233,0.9252165892216185,0.7192638374697379,0.42815841461089077,0.1070126121794287,True,3.187699708304028,0.19923123176900176,False
L16_s5600_fresh_seed21002,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,0.28531592728836835,lower_0_30,0.3,0.9252165892216185,0.7192638374697379,0.42815841461089077,0.1070126121794287,True,3.3990661364420043,0.21244163352762527,True
L16_s5600_fresh_seed21002,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,0.28531592728836835,lower_0_25,0.25,0.9252165892216185,0.7192638374697379,0.42815841461089077,0.1070126121794287,True,3.554758658721416,0.2221724161700885,True
L16_s5600_fresh_seed21002,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21002,OK,4.5536491244391186e-17,0.1397381179864325,0.28531592728836835,lower_0_20,0.2,0.9252165892216185,0.7192638374697379,0.42815841461089077,0.1070126121794287,True,3.7104511810008276,0.23190319881255173,True
L16_s5600_fresh_seed21003,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,0.2782166266969847,default_exp_minus_1,0.36787944117144233,0.9243022868496474,0.7198422706238136,0.442037070068031,0.15334335701015714,True,3.2568730302821747,0.20355456439263592,True
L16_s5600_fresh_seed21003,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,0.2782166266969847,lower_0_30,0.3,0.9243022868496474,0.7198422706238136,0.442037070068031,0.15334335701015714,True,3.4919991799044032,0.2182499487440252,True
L16_s5600_fresh_seed21003,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,0.2782166266969847,lower_0_25,0.25,0.9243022868496474,0.7198422706238136,0.442037070068031,0.15334335701015714,True,3.6651931143008083,0.22907456964380052,True
L16_s5600_fresh_seed21003,16,16.0,0.9,0.09999999999999998,5600,0.05,1.0,0.1,0.08457874312329786,21003,OK,8.860642254637785e-17,0.13588747542052781,0.2782166266969847,lower_0_20,0.2,0.9243022868496474,0.7198422706238136,0.442037070068031,0.15334335701015714,True,3.8383870486972134,0.23989919054357584,True
