country_code,year,EG.USE.PCAP.KG.OE,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
GM,2002,,640.03893213613,2578.557145742,1535691.0
GM,2003,,665.834222326194,2682.47993310133,1577611.0
GM,2008,,657.675679192228,2649.61119865306,1817852.0
GM,2009,,681.433469086571,2745.32540574768,1871422.0
GM,2010,,701.014524591061,2824.21259222517,1926630.0
GM,2011,,625.464360270983,2519.83983255672,1983784.0
GM,2012,,639.139881889048,2574.93509664061,2043094.0
GM,2013,,638.522368532214,2572.44728941685,2103820.0
GM,2014,,611.879472952196,2465.10971144823,2164528.0
GM,2015,,619.536364296461,2495.95741601525,2224529.0
GM,2016,,615.193365494386,2478.46055756999,2283769.0
GM,2017,,628.777299272925,2533.18683710276,2342189.0
GM,2018,,658.127833258563,2651.43281455826,2399632.0
GM,2019,,682.797642940426,2750.82132179634,2456844.0
GM,2020,,670.758642891251,2702.31919474482,2515733.0
GM,2021,,689.49323955737,2777.79620978324,2576010.0
GM,2022,,710.686979216316,2863.18049829859,2636470.0
GM,2023,,735.612384062616,2963.59873467436,2697845.0
GM,2024,,758.965888826955,3057.6841778633,2759988.0
GN,2000,,614.137235083638,2358.28765608495,8428832.0
GN,2001,,628.320554864936,2412.75161959628,8539960.0
GN,2002,,650.554963973291,2498.13177495102,8674066.0
GN,2003,,644.071217908894,2473.23418295471,8870781.0
GN,2004,,645.182843390689,2477.50282602363,9062726.0
GN,2005,,651.359606871604,2501.22160456279,9245844.0
GN,2006,,645.472001923653,2478.61319510726,9441171.0
GN,2007,,673.698997420626,2587.0048887648,9662281.0
GN,2008,,684.775780377366,2629.5397474637,9898870.0
GN,2009,,660.756701330284,2537.30645758746,10143534.0
GN,2010,,675.736917327708,2594.83050344245,10396086.0
GN,2011,,696.199991395571,2673.40873029955,10656810.0
GN,2012,,719.505916794546,2762.90350938513,10921581.0
GN,2013,,729.833143236326,2802.56007024474,11191873.0
GN,2014,,738.272274481308,2834.96634347846,11472924.0
GN,2015,,747.356966759448,2869.85157178732,11767070.0
GN,2016,,807.236421043888,3099.78874189372,12073030.0
GN,2017,,867.907502577607,3332.76576150531,12385659.0
GN,2018,,899.907328045175,3455.64512638662,12704774.0
GN,2019,,926.42221954853,3557.46233883145,13034346.0
GN,2020,,945.570903389665,3630.99330577677,13371183.0
GN,2021,,973.646890096159,3738.8051255133,13710513.0
GN,2022,,987.502501465337,3792.01068836277,14055137.0
GN,2023,,1016.88094800324,3904.82395527998,14405468.0
GN,2024,,1045.92207475792,4016.34191385979,14754785.0
GQ,2024,,4892.95310498567,14997.7564392976,1892516.0
GT,2024,,4564.21378502908,12643.9841235004,18406359.0
GW,2000,,571.094015178625,1974.74466342453,1234741.0
GW,2001,,585.837980688333,2025.72675469878,1261273.0
GW,2002,,594.040535151552,2054.08977413547,1289307.0
GW,2003,,579.092506821836,2002.40206880451,1318806.0
GW,2008,,608.958620496925,2105.67394178792,1488054.0
