recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2010,0,0.0,0,0.0,-1856715000.0,70286000.0,97290000.0,,,,1062920000.0,97290000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2011,0,0.0,0,0.0,-149871000.0,25637000.0,41308000.0,,,,568255000.0,41308000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2012,0,0.0,0,0.0,126538000.0,199143000.0,34782000.0,,,,569115000.0,34782000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2013,0,0.0,0,0.0,72229000.0,240342000.0,31421000.0,,,,557409000.0,31421000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2014,0,0.0,0,0.0,439948000.0,315994000.0,35966000.0,,,,601602000.0,35966000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2015,0,0.0,0,0.0,164243000.0,367605000.0,44929000.0,,,,726357000.0,44929000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2016,0,0.0,0,0.0,158898000.0,316722000.0,39810000.0,,,,536260000.0,39810000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2017,0,0.0,0,0.0,252417000.0,378200000.0,44808000.0,,,,932161000.0,44808000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2018,0,0.0,0,0.0,203086000.0,444879000.0,53712000.0,,,,616686000.0,53712000.0,,
CADENCE DESIGN SYSTEMS INC,downstream_subaward,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,2019,0,0.0,0,0.0,204101000.0,470740000.0,57901000.0,,,,465232000.0,57901000.0,,
