transaction_id,award_id,recipient_name,recipient_uei,action_date,transaction_amount_usd,award_type,awarding_agency,awarding_sub_agency,funding_agency,funding_sub_agency,naics_code,naics_description,psc_code,psc_description,transaction_description,primary_place_of_performance
292026870,89233119FNA400174,"THE AR GROUP, LLC",XCGQNFVQ9L89,2024-09-25,13380.86,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",R615,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,"EQUAL EMPLOYMENT OPPORTUNITY (EEO) INVESTIGATION AND FINAL AGENCY DECISION WRITING SERVICES NATIONAL NUCLEAR SECURITY ADMINISTRATION (NNSA), OFFICE OF CIVIL RIGHTS","{'city_name': 'GREENWOOD VILLAGE', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '005', 'county_name': 'ARAPAHOE', 'location_country_code': 'USA', 'state_code': 'CO', 'state_name': 'Colorado', 'zip4': '2218', 'zip5': '80111'}"
292026939,89233120CNA000124,"TSAY PROFESSIONAL SERVICES, INC.",M95UQGRBHQB9,2024-09-25,0.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,561210,FACILITIES SUPPORT SERVICES,Z1AA,MAINTENANCE OF OFFICE BUILDINGS,"DOE/NNSA NEVADA SUPPORT FACILITY (NSF) OPERATIONS, MAINTENANCE AND SUPPORT SERVICES (OMSS) AT THE NEVADA FIELD OFFICE (NFO) IN LAS VEGAS, NV. UPDATE CLUSE DOE-H-2070, PWS AND PROVIDE INCREMENTAL FUNDING.","{'city_name': 'LAS VEGAS', 'congressional_code': '03', 'country_name': 'UNITED STATES', 'county_code': '003', 'county_name': 'CLARK', 'location_country_code': 'USA', 'state_code': 'NV', 'state_name': 'Nevada', 'zip4': '8518', 'zip5': '89193'}"
292027032,89233120FNA400317,LINK TECHNOLOGIES INC,G36RN4KDGX29,2024-09-25,517977.19,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,SUPPORT SERVICES FOR NUCLEAR MATERIALS MANAGEMENT AND SAFEGUARDS SYSTEM (NA-532).,"{'city_name': 'GERMANTOWN', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '031', 'county_name': 'MONTGOMERY', 'location_country_code': 'USA', 'state_code': 'MD', 'state_name': 'Maryland', 'zip4': '1290', 'zip5': '20874'}"
292027036,89233120FNA400321,"TECHSOURCE, LLC",DSDEKJ6JRLA7,2024-09-25,39212.58,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,"IGF:CL:IGF  U.S. DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION'S (DOE/NNSA) TECHNICAL, ENGINEERING, AND PROGRAMMATIC SUPPORT SERVICES II (TEPS II) BLANKET PURCHASE AGREEMENT (BPA) HOLDERS--RFQ 89233120QNA000116 TECHNICAL SUPPO","{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0102', 'zip5': '20585'}"
292027077,89233121CNA000219,RHINOCORPS LTD. CO.,QH3DZGNHN7K3,2024-09-25,875577.19,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,R412,SUPPORT- PROFESSIONAL: SIMULATION,TECHNICAL AND COMPUTER SIMULATION SUPPORT FOR THE OFFICE OF SECURITY OPERATIONS & PROGRAMMATIC PLANNING (NA-71).,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0708', 'zip5': '20585'}"
292027079,89233121CNA000222,CUMMINS KENNETH L,HMCCTGLV1B53,2024-09-25,-3306.22,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",AC23,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; EXPERIMENTAL DEVELOPMENT,EO14042 BLUE RIBBON PANEL LIGHTNING ENVIRONMENTS REVIEW,"{'city_name': 'TUCSON', 'congressional_code': '06', 'country_name': 'UNITED STATES', 'county_code': '019', 'county_name': 'PIMA', 'location_country_code': 'USA', 'state_code': 'AZ', 'state_name': 'Arizona', 'zip4': '2342', 'zip5': '85750'}"
292027127,89233121FNA400386,VECTOR RESOURCE INC,EK38FYR4WKJ7,2024-09-25,-1000000.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OFFICE OF SYSTEMS ENGINEERING AND INTEGRATION (NA-18) LIFE CYCLE LOGISTICS MANAGEMENT SUPPORT,"{'city_name': 'ALBUQUERQUE', 'congressional_code': '01', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'BERNALILLO', 'location_country_code': 'USA', 'state_code': 'NM', 'state_name': 'New Mexico', 'zip4': '9700', 'zip5': '87101'}"
292027164,89233122CNA000268,ANALEX CORPORATION,CWLNZ4TJCLE4,2024-09-25,0.0,DEFINITIVE CONTRACT,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"CONTRACT FOR SUPPORT CONTRACT TO ASSIST IN THE INVESTIGATION OF TME AND SGEMP FROM PERATON CORP. ON BEHALF OF AWE, ALDERMASTON UNDER JOWOG 6","{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0102', 'zip5': '20585'}"
292027199,89233122FNA400430,SIGMA SCIENCE INC,NB31NPVJHRZ5,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OFFICE OF DEFENSE NUCLEAR NONPROLIFERATION RESEARCH AND DEVELOPMENT (NA-22) TECHNICAL AND ANALYTICAL SUPPORT SERVICES,"{'city_name': 'WASHINGTON', 'congressional_code': '98', 'country_name': 'UNITED STATES', 'county_code': '001', 'county_name': 'DISTRICT OF COLUMBIA', 'location_country_code': 'USA', 'state_code': 'DC', 'state_name': 'District Of Columbia', 'zip4': '0102', 'zip5': '20585'}"
292027287,89233123FNA000109,PARSONS GOVERNMENT SERVICES INC.,NMBCAG1JBKL7,2024-09-25,68693.68,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541330,ENGINEERING SERVICES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"NA-90.2 PLANS, IMPLEMENTS, REPORTS, AND CLOSES OUT CAPITAL ASSET REVIEWS BASED ON THE CHARGE PROVIDED BY THE REQUESTING NNSA OFFICIAL TO ASSURE THAT SPECIFIC TOPICS OR EMPHASES ARE PROPERLY UNDERSTOOD AND IDENTIFIED IN THE REVIEW. THE PURPOSE OF THE","{'city_name': 'CENTREVILLE', 'congressional_code': '11', 'country_name': 'UNITED STATES', 'county_code': '059', 'county_name': 'FAIRFAX', 'location_country_code': 'USA', 'state_code': 'VA', 'state_name': 'Virginia', 'zip4': '1922', 'zip5': '20120'}"
292027294,89233123FNA000118,VECTOR RESOURCE INC,EK38FYR4WKJ7,2024-09-25,1097614.06,BPA CALL,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,"INDEPENDENT PROJECT REVIEW AND ASSESSMENT SUPPORT FOR THE DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION'S (DOE/NNSA) OFFICE OF ENTERPRISE PROJECT MANAGEMENT (NA-APM-20)","{'city_name': 'ENGLEWOOD', 'congressional_code': '17', 'country_name': 'UNITED STATES', 'county_code': '115', 'county_name': 'SARASOTA', 'location_country_code': 'USA', 'state_code': 'FL', 'state_name': 'Florida', 'zip4': '1822', 'zip5': '34223'}"
292027322,89233123FNA400519,TECHNOMICS INC,LU9TXLBPMQD7,2024-09-25,650717.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541330,ENGINEERING SERVICES,R499,SUPPORT- PROFESSIONAL: OTHER,COST DATA COLLECTION SUPPORT SERVICES FOR THE OFFICE OF COST ESTIMATING AND PROGRAM EVALUATION (CEPE) (NA-1.3).,"{'city_name': 'ARLINGTON', 'congressional_code': '08', 'country_name': 'UNITED STATES', 'county_code': '013', 'county_name': 'ARLINGTON', 'location_country_code': 'USA', 'state_code': 'VA', 'state_name': 'Virginia', 'zip4': '4386', 'zip5': '22202'}"
292027475,89233124FNA400648,PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,E8E4EKJKKJW7,2024-09-25,1140489.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"TASKS INCLUDE DESIGN, INTEGRATION, CONSTRUCTION, COMMUNICATIONS, LOGISTICS, TRAINING, AND EQUIPMENT PROCUREMENT TO SUPPORT THE DEPLOYMENT OF COUNTER NUCLEAR SMUGGLING SYSTEMS. EXAMPLES OF COUNTER NUCLEAR SMUGGLING SYSTEM COMPONENTS INCLUDE BUT ARE NO","{'city_name': 'PASADENA', 'congressional_code': '28', 'country_name': 'UNITED STATES', 'county_code': '037', 'county_name': 'LOS ANGELES', 'location_country_code': 'USA', 'state_code': 'CA', 'state_name': 'California', 'zip4': '0001', 'zip5': '91124'}"
292027476,89233124FNA400649,SEATECH GLOBAL SECURITY SOLUTIONS,UH3MS7J8HN85,2024-09-25,0.0,DELIVERY ORDER,Department of Energy,Department of Energy,Department of Energy,Department of Energy,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"TASKS INCLUDE DESIGN, INTEGRATION, CONSTRUCTION, COMMUNICATIONS, LOGISTICS, TRAINING, AND EQUIPMENT PROCUREMENT TO SUPPORT THE DEPLOYMENT OF COUNTER NUCLEAR SMUGGLING SYSTEMS. EXAMPLES OF COUNTER NUCLEAR SMUGGLING SYSTEM COMPONENTS INCLUDE BUT ARE NO","{'city_name': None, 'congressional_code': None, 'country_name': 'UZBEKISTAN', 'county_code': None, 'county_name': None, 'location_country_code': 'UZB', 'state_code': None, 'state_name': None, 'zip4': None, 'zip5': None}"
