prime_award_id,prime_award_internal_id,subaward_id,subaward_number,action_date,action_fiscal_year_derived,amount_usd,recipient_name,description
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369241,200165,2025-06-02,2025,55825.0,"ASTLEY PRECISION MACHINE COMPANY, INC.",LEGND REFERENCE STANDARDS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369242,200264,2025-06-02,2025,223951.0,"BEARDSLEY DESIGN ASSOCIATES ARCHITECTURE, ENGINEERING, LANDSCAPE ARCHITECTURE, D.P.C.",TOA-13 COMMISSIONING STEAM MCP KNOLLS LABORATORY
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369243,200217,2025-06-02,2025,156000.0,POWDERS ON DEMAND LLC,A506 GRADE 4N PM-HIP BILLETS
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369729,200148,2025-06-02,2025,384896.0,ENERGY & PROCESS CORP,IN-PILE TUBE PRESSURE BOUNDARY MATERIAL
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10344973,200272,2025-06-03,2025,34843.0,"FLUOR MARINE PROPULSION, LLC",GEL LABORATORIES LLC
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369240,200272,2025-06-03,2025,34843.0,GEL LABORATORIES LLC,200272
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345000,200318,2025-06-04,2025,49858.0,"FLUOR MARINE PROPULSION, LLC",COLOSSAL CONTRACTING LLC
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10368675,200163,2025-06-04,2025,81900.0,"SHAWMUT EQUIPMENT COMPANY, INCORPORATED",56 BIFOLD FIXED JIB
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369237,200271,2025-06-04,2025,128960.0,"CTG FEDERAL, LLC",FY25 E9-100 SM PATCH PANEL HARDWARE
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369238,200318,2025-06-04,2025,49858.0,COLOSSAL CONTRACTING LLC,200318
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369239,200291,2025-06-04,2025,722000.0,"HOOSICK VALLEY CONTRACTORS, INC.",KS BATHROOM & LACTATION REFURBISHMENT - WA-A
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369585,200303,2025-06-04,2025,100262.0,"KINGSLEY ARMS, INC.",RAP 43 FOR MASTER PO 147000 - PO 200303
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10345011,200171,2025-06-05,2025,158995.0,"FLUOR MARINE PROPULSION, LLC",RIGGING GEAR REQUEST 1211
CONT_AWD_89233018CNR000004_8900_-NONE-_-NONE-,292026551,10369234,200110,2025-06-05,2025,201293.0,FASTECH LLC,DEMONSTRATION OF MICROSTRUCTURE IMPROVEMENT USING THERMOMECHANICAL WORK
