endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
mts_table_4,2024-09-30,Withheld,current_fytd_gross_rcpt_amt,1766400509561.88,2024
mts_table_5,2024-09-30,Accelerating Achievement and Ensuring Equity,current_fytd_net_outly_amt,18911824106.1,2024
mts_table_5,2024-09-30,Administration for Children and Families:,,,2024
mts_table_5,2024-09-30,Administration for Community Living,current_fytd_net_outly_amt,2791979601.16,2024
mts_table_5,2024-09-30,Administration of Foreign Affairs:,,,2024
mts_table_5,2024-09-30,Administrative Expenses,current_fytd_net_outly_amt,2519830931.03,2024
mts_table_5,2024-09-30,Administrative Expenses,current_fytd_net_outly_amt,3954694899.44,2024
mts_table_5,2024-09-30,Administrative Expenses,current_fytd_net_outly_amt,4754422487.94,2024
mts_table_5,2024-09-30,Administrative Expenses,current_fytd_net_outly_amt,5736241307.32,2024
mts_table_5,2024-09-30,Administrative Expenses,current_fytd_net_outly_amt,60788274.68,2024
mts_table_5,2024-09-30,Administrative and Operating Expenses,current_fytd_net_outly_amt,77233980.55,2024
mts_table_5,2024-09-30,Advanced Technology Vehicles Manufacturing Loan Program,current_fytd_net_outly_amt,67795138.25,2024
mts_table_5,2024-09-30,Aeronautics,current_fytd_net_outly_amt,946527309.42,2024
mts_table_5,2024-09-30,Agency for Healthcare Research and Quality,current_fytd_net_outly_amt,369106924.81,2024
mts_table_5,2024-09-30,Agency for International Development:,,,2024
mts_table_5,2024-09-30,Agricultural Credit Insurance Fund,current_fytd_net_outly_amt,1532617504.48,2024
mts_table_5,2024-09-30,Agricultural Disaster Relief Fund,current_fytd_net_outly_amt,-155208.42,2024
mts_table_5,2024-09-30,Agricultural Marketing Service,current_fytd_net_outly_amt,3351106273.4,2024
mts_table_5,2024-09-30,Agricultural Research Service,current_fytd_net_outly_amt,1921000298.23,2024
mts_table_5,2024-09-30,Air Carrier Worker Support,current_fytd_net_outly_amt,1227344.0,2024
mts_table_5,2024-09-30,Airport and Airway Trust Fund,current_fytd_net_outly_amt,-492520123.58,2024
mts_table_5,2024-09-30,Airport and Airway Trust Fund:,,,2024
mts_table_5,2024-09-30,Alcohol and Tobacco Tax and Trade Bureau:,,,2024
mts_table_5,2024-09-30,Andean Counterdrug Programs,current_fytd_net_outly_amt,-522.71,2024
mts_table_5,2024-09-30,Animal and Plant Health Inspection Service,current_fytd_net_outly_amt,2392719328.84,2024
mts_table_5,2024-09-30,Architect of the Capitol,current_fytd_net_outly_amt,823367894.23,2024
mts_table_5,2024-09-30,Armed Forces Retirement Home,current_fytd_net_outly_amt,-10024184.25,2024
mts_table_5,2024-09-30,Assets Forfeiture Fund,current_fytd_net_outly_amt,1659651768.91,2024
mts_table_5,2024-09-30,"Assistance for Europe, Eurasia and Central Asia",current_fytd_net_outly_amt,890282460.46,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,153917545267.93,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,403423187940.61,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,519967835979.18,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,1293782491652.94,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,116946359672.91,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,8683251585.85,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,5775329458.3,2024
mts_table_5,2024-09-30,Benefit Payments,current_fytd_net_outly_amt,59995808.21,2024
mts_table_5,2024-09-30,Benefits Programs:,,,2024
mts_table_5,2024-09-30,Black Lung Disability Trust Fund,current_fytd_net_outly_amt,440246712.69,2024
mts_table_5,2024-09-30,"Build America Bond Payments, Recovery Act",current_fytd_net_outly_amt,2137579691.17,2024
mts_table_5,2024-09-30,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",current_fytd_net_outly_amt,1751314242.59,2024
mts_table_5,2024-09-30,Bureau of Consumer Financial Protection,current_fytd_net_outly_amt,1201058347.27,2024
mts_table_5,2024-09-30,Bureau of Engraving and Printing,current_fytd_net_outly_amt,-165208182.06,2024
mts_table_5,2024-09-30,Bureau of Indian Affairs and Bureau of Indian Education,current_fytd_net_outly_amt,2781123224.03,2024
mts_table_5,2024-09-30,Bureau of Labor Statistics,current_fytd_net_outly_amt,677591753.13,2024
mts_table_5,2024-09-30,Bureau of Land Management:,,,2024
mts_table_5,2024-09-30,Bureau of Ocean Energy Management,current_fytd_net_outly_amt,168681368.1,2024
mts_table_5,2024-09-30,Bureau of Reclamation:,,,2024
mts_table_5,2024-09-30,Bureau of the Census,current_fytd_net_outly_amt,1493160534.69,2024
mts_table_5,2024-09-30,Bureau of the Fiscal Service:,,,2024
mts_table_5,2024-09-30,Business Loans Program,current_fytd_net_outly_amt,544510636.03,2024
mts_table_5,2024-09-30,Capital Improvement and Maintenance,current_fytd_net_outly_amt,298839672.19,2024
mts_table_5,2024-09-30,Capital Investment Grants,current_fytd_net_outly_amt,2552815234.61,2024
mts_table_5,2024-09-30,Capital and Debt Service Grants to the National Railroad Passenger Corporation,current_fytd_net_outly_amt,76352.23,2024
mts_table_5,2024-09-30,Capitol Police,current_fytd_net_outly_amt,777783780.82,2024
mts_table_5,2024-09-30,Centers for Disease Control and Prevention,current_fytd_net_outly_amt,12168373990.18,2024
mts_table_5,2024-09-30,Centers for Medicare and Medicaid Services:,,,2024
mts_table_5,2024-09-30,Central Utah Project,current_fytd_net_outly_amt,27371733.27,2024
mts_table_5,2024-09-30,Child Care Entitlement to States,current_fytd_net_outly_amt,3565726398.3,2024
mts_table_5,2024-09-30,Child Nutrition Programs,current_fytd_net_outly_amt,32732684349.3,2024
mts_table_5,2024-09-30,Children and Families Services Programs,current_fytd_net_outly_amt,14804889188.0,2024
mts_table_5,2024-09-30,Children's Health Insurance Fund,current_fytd_net_outly_amt,19448776714.6,2024
mts_table_5,2024-09-30,Citizenship and Immigration Services,current_fytd_net_outly_amt,5859446261.52,2024
mts_table_5,2024-09-30,Civil Service Retirement and Disability Fund,current_fytd_net_outly_amt,-54633375522.99,2024
mts_table_5,2024-09-30,Civil Service Retirement and Disability Fund,current_fytd_net_outly_amt,-26596903063.43,2024
mts_table_5,2024-09-30,Civil Service Retirement and Disability Fund,current_fytd_net_outly_amt,107734801237.49,2024
mts_table_5,2024-09-30,Civil Service Retirement and Disability Fund:,,,2024
mts_table_5,2024-09-30,"Claims, Judgements, and Relief Acts",current_fytd_net_outly_amt,1910700231.83,2024
mts_table_5,2024-09-30,Commodity Credit Corporation,current_fytd_net_outly_amt,5524167117.4,2024
mts_table_5,2024-09-30,Community Development Fund,current_fytd_net_outly_amt,9372870651.97,2024
mts_table_5,2024-09-30,Community Oriented Policing Services,current_fytd_net_outly_amt,425245205.18,2024
mts_table_5,2024-09-30,Community Planning and Development:,,,2024
mts_table_5,2024-09-30,Community Service Employment for Older Americans,current_fytd_net_outly_amt,402181283.71,2024
mts_table_5,2024-09-30,Compensation and Pensions,current_fytd_net_outly_amt,161231617435.7,2024
mts_table_5,2024-09-30,Comptroller of the Currency,current_fytd_net_outly_amt,71061905.32,2024
mts_table_5,2024-09-30,Congressional Budget Office,current_fytd_net_outly_amt,67825916.83,2024
mts_table_5,2024-09-30,Conservation Operations,current_fytd_net_outly_amt,1141979848.44,2024
mts_table_5,2024-09-30,Construction,current_fytd_net_outly_amt,882886666.8,2024
mts_table_5,2024-09-30,Construction,current_fytd_net_outly_amt,3999012706.14,2024
mts_table_5,2024-09-30,Contingency Fund,current_fytd_net_outly_amt,584120873.07,2024
mts_table_5,2024-09-30,Contribution to the International Development Association,current_fytd_net_outly_amt,1630256000.0,2024
mts_table_5,2024-09-30,Coronavirus Relief Fund,current_fytd_net_outly_amt,602240049.76,2024
mts_table_5,2024-09-30,Corporation for National and Community Service,current_fytd_net_outly_amt,1246813117.51,2024
mts_table_5,2024-09-30,Corporation for Public Broadcasting,current_fytd_net_outly_amt,585000000.0,2024
mts_table_5,2024-09-30,Corps of Engineers,current_fytd_net_outly_amt,-601320378.87,2024
mts_table_5,2024-09-30,Corps of Engineers:,,,2024
mts_table_5,2024-09-30,Courts,current_fytd_net_outly_amt,364837871.0,2024
mts_table_5,2024-09-30,"Courts of Appeals, District Courts, and Other Judicial Services",current_fytd_net_outly_amt,9666467780.69,2024
mts_table_5,2024-09-30,Credit Accounts:,,,2024
mts_table_5,2024-09-30,Crime Victims Fund,current_fytd_net_outly_amt,2112654858.83,2024
mts_table_5,2024-09-30,Cross Agency Support,current_fytd_net_outly_amt,3099296944.08,2024
mts_table_5,2024-09-30,Defense Agencies,,,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,-1971275580.38,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,34901210020.62,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,2935158511.03,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,100106139493.14,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,19874141000.0,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,579814692.13,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,8381829639.66,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,87812966.43,2024
mts_table_5,2024-09-30,Defense Agencies,current_fytd_net_outly_amt,-7677591.36,2024
mts_table_5,2024-09-30,Defense Agencies:,,,2024
mts_table_5,2024-09-30,Defense Environmental Cleanup,current_fytd_net_outly_amt,7319730519.67,2024
mts_table_5,2024-09-30,Defense Nuclear Nonproliferation,current_fytd_net_outly_amt,2752082325.35,2024
mts_table_5,2024-09-30,Defense Nuclear Waste Disposal,current_fytd_net_outly_amt,359560.18,2024
mts_table_5,2024-09-30,Department of Agriculture:,,,2024
mts_table_5,2024-09-30,Department of Commerce:,,,2024
mts_table_5,2024-09-30,Department of Defense Medicare-Eligible Retiree Health Care Fund,current_fytd_net_outly_amt,-10837263303.0,2024
mts_table_5,2024-09-30,Department of Defense Medicare-Eligible Retiree Health Care Fund,current_fytd_net_outly_amt,12285876340.91,2024
mts_table_5,2024-09-30,Department of Defense--Military Programs:,,,2024
mts_table_5,2024-09-30,Department of Education:,,,2024
mts_table_5,2024-09-30,Department of Energy:,,,2024
mts_table_5,2024-09-30,Department of Health and Human Services:,,,2024
mts_table_5,2024-09-30,Department of Health and Human Services:,,,2024
mts_table_5,2024-09-30,Department of Health and Human Services:,,,2024
mts_table_5,2024-09-30,Department of Homeland Security:,,,2024
mts_table_5,2024-09-30,Department of Homeland Security:,,,2024
mts_table_5,2024-09-30,Department of Housing and Urban Development:,,,2024
mts_table_5,2024-09-30,Department of Justice:,,,2024
mts_table_5,2024-09-30,Department of Labor:,,,2024
mts_table_5,2024-09-30,Department of Labor:,,,2024
mts_table_5,2024-09-30,Department of State:,,,2024
mts_table_5,2024-09-30,Department of State:,,,2024
mts_table_5,2024-09-30,Department of State:,,,2024
mts_table_5,2024-09-30,Department of Transportation:,,,2024
mts_table_5,2024-09-30,Department of Transportation:,,,2024
mts_table_5,2024-09-30,Department of Veterans Affairs:,,,2024
mts_table_5,2024-09-30,Department of Veterans Affairs:,,,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,-174157256.13,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,61931724969.57,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,3665773724.74,2024
mts_table_5,2024-09-30,Department of the Air Force,current_fytd_net_outly_amt,4294677.84,2024
